c anaerobes
r
b 41
b 2105
b 880
b 1957
b 80
b 2089
b 570
b 2088
b 2419
b 2648
b 251
b 875
b 1465
b 465
b 1780
b 491
b 268
b 1034
b 2100
b 2709
b 2394
b 969
b 1175
b 153
b 292
b 1474
b 1059
b 2354
b 629
b 806
b 2720
b 2637
b 1136
b 630
b 1869
b 823
b 1124
b 1756
b 673
b 1713
b 1433
b 1995
b 1325
b 336
b 1311
b 1937
b 1506
b 2257
b 983
b 1414
b 1004
b 374
b 2665
b 33
b 948
b 1951
b 542
b 1560
b 259
b 778
b 1408
b 308
b 374
b 1842
b 288
b 109
b 859
b 761
b 175
b 832
b 176
b 1989
b 2255
b 1275
b 2554
b 1715
b 1371
b 1104
b 2577
b 821
b 540
b 1715
b 2268
b 865
b 2394
b 932
b 2239
b 1922
b 296
b 1765
b 582
b 2442
b 83
b 415
b 83
b 2449
b 2483
b 2082
b 1113
b 179
b 2106
b 1118
b 1912
b 2388
b 888
b 1749
b 342
b 2306
b 1676
b 570
b 2294
b 1475
b 2381
b 2710
b 816
b 375
b 2234
b 1938
b 2370
b 150
b 2170
b 2382
b 980
b 2274
b 539
b 224
b 1839
b 1939
b 1304
b 1144
b 80
b 1150
b 579
b 2635
b 331
b 703
b 1110
b 194
b 1645
b 429
b 1822
b 1379
b 483
b 2202
b 1310
b 728
b 2212
b 1577
b 2405
b 2226
b 968
b 403
b 236
b 2122
b 51
b 1898
b 900
b 2594
b 2400
b 1655
b 1048
b 905
b 354
b 1448
b 2459
b 1029
b 325
b 1314
b 875
b 2534
b 2110
b 839
b 1193
b 112
b 1869
b 2205
b 78
b 1383
b 579
b 2668
b 100
b 2007
b 53
b 1999
b 1875
b 668
b 1446
b 1061
b 1765
b 467
b 1001
b 1258
b 105
b 667
b 1445
b 2421
b 675
b 1163
b 997
b 1333
b 674
b 2162
b 2573
b 1089
b 1511
b 2522
b 157
b 1559
b 982
b 306
b 770
b 100
b 390
b 2612
b 1354
b 2705
b 468
b 1396
b 366
b 708
b 526
b 1587
b 2044
b 1322
b 1994
b 657
b 2550
b 1164
p
b 1491
b 707
b 1163
b 1646
b 500
b 1709
b 739
b 2614
b 1383
b 1806
b 2176
b 1384
b 584
b 2363
b 1828
b 2387
b 2504
b 737
b 726
b 1072
b 67
b 603
b 2567
b 2634
b 2456
b 966
b 1239
b 830
b 1819
b 2159
b 2513
b 1163
b 2599
b 1053
b 2028
b 1416
b 65
b 2001
b 2141
b 2289
b 1840
b 245
b 830
b 1206
b 622
b 2573
b 2348
b 2531
b 2600
b 2510
b 1914
b 2326
b 1499
b 1053
b 2493
b 1608
b 1620
b 61
b 2275
b 2404
b 2366
b 2104
b 2545
b 1429
b 1347
b 1941
b 1651
b 935
b 1442
b 2154
b 1178
b 827
b 887
b 1332
b 2368
b 1422
b 2336
b 2374
b 707
b 187
b 1987
b 1331
b 148
b 1698
b 2629
b 1026
b 2504
b 1515
b 2644
b 1453
b 325
b 1621
b 733
b 1075
b 777
b 2041
b 193
b 1379
b 570
b 1327
b 1016
b 2470
b 2672
b 2647
b 1547
b 1191
b 1752
b 793
b 1319
b 1582
b 332
b 1355
b 1586
b 2539
b 1188
b 964
b 912
b 2627
b 1832
b 1856
b 1586
b 486
b 1051
b 469
b 1830
b 712
b 481
b 1417
b 1380
b 1133
b 1675
b 2161
b 81
b 1361
b 265
b 2285
b 1136
b 2570
b 1749
b 1896
b 891
b 935
b 1611
b 2240
b 2018
b 1560
b 2278
b 132
b 1747
b 752
b 2168
b 383
b 2425
b 1724
b 1596
b 1937
b 2021
b 898
b 1934
b 1687
b 1133
b 1281
b 2064
b 1331
b 2556
b 1070
b 925
b 800
b 2033
b 1027
b 2064
b 2723
b 1411
b 2273
b 1763
b 2668
b 830
b 350
b 375
b 299
b 1943
b 2173
b 2075
b 1372
b 530
b 2625
b 1543
b 1924
b 115
b 2702
b 2153
b 546
b 1006
b 162
b 1143
b 323
b 909
b 2123
b 311
b 142
b 860
b 1289
b 2156
b 2446
b 98
b 179
b 597
b 977
b 635
b 1900
b 235
b 836
b 622
b 1217
b 2534
b 1940
b 1831
b 1642
b 140
b 59
b 2695
b 2535
b 749
b 2125
b 2033
b 2605
b 842
b 1759
b 1009
b 650
b 1951
b 777
b 2035
b 941
b 1018
b 1194
b 2030
b 1336
b 73
b 1725
b 1063
b 1926
b 829
b 2030
b 2173
b 1226
b 1395
b 230
b 1135
b 942
b 1710
b 2382
b 2428
b 724
b 2295
b 760
b 2307
b 839
b 2625
b 1084
b 175
b 1931
b 880
b 1250
b 1448
b 1327
b 123
b 53
b 1010
b 2353
b 2014
b 2528
b 1264
b 79
b 748
b 2662
b 2303
b 1237
b 1741
b 774
b 957
b 1004
b 2064
b 2431
b 2520
b 1289
b 191
b 2674
b 2213
b 1762
b 2300
b 194
b 903
b 1351
b 2596
b 1216
b 184
b 2099
b 569
b 1200
b 1515
b 985
b 2303
b 1852
b 268
b 2324
b 1023
b 2381
b 2024
b 1252
b 712
b 1034
b 825
b 612
b 2085
b 114
b 316
b 1086
b 1114
b 1434
b 1927
b 2359
b 618
b 2080
b 2461
b 850
b 1467
b 1400
b 1626
b 1176
b 345
b 2449
b 2067
b 1455
b 2053
b 2091
b 1988
b 2114
b 2347
b 1931
b 1809
b 2334
b 677
b 2225
b 2607
b 2313
b 2413
b 1838
b 1105
b 751
b 480
b 2585
b 1145
b 600
b 857
b 2464
b 1200
b 610
b 2368
b 734
b 716
b 236
b 2607
b 2483
b 911
b 727
b 1886
b 1032
b 1948
b 2030
b 2223
b 326
b 1938
b 1057
b 925
b 1086
b 2370
b 1463
b 494
b 1508
b 1626
b 1937
b 1570
b 1786
b 2034
b 1036
b 463
b 885
b 1285
b 1826
b 1637
b 1991
b 102
b 1993
b 1995
b 1162
b 1508
b 2367
b 2246
b 300
b 778
b 279
b 766
b 312
b 2234
b 554
b 341
b 880
b 1335
b 2681
b 1752
b 2081
b 1026
b 1765
b 1859
b 1132
b 875
b 983
b 1910
b 610
b 1017
b 1297
b 842
b 698
b 2261
b 2015
b 951
b 1945
b 1415
b 1
b 408
b 2589
b 1447
b 1510
b 264
b 225
b 2289
b 2197
b 228
b 350
b 335
b 578
b 284
b 2151
b 721
b 1273
b 1233
b 1102
b 1959
b 1519
b 2022
b 543
b 1187
b 2286
b 1018
b 1630
b 1013
b 2271
b 1586
b 1243
b 543
b 1904
b 1512
b 623
b 1126
b 502
b 32
b 2176
b 1281
b 147
b 1576
b 2124
b 2670
b 1885
b 757
b 1357
b 1894
b 2424
b 1863
b 427
b 833
b 2031
b 2607
b 503
b 2132
b 847
b 252
b 2363
b 829
b 355
b 219
b 1878
b 1256
b 999
b 2165
b 1824
b 2137
b 1250
b 1821
b 1051
p
b 750
b 662
b 2248
b 1539
b 303
b 514
b 2009
b 339
b 2676
b 13
b 244
b 1502
b 1097
b 167
b 2456
b 1442
b 1184
b 2316
b 1769
b 1627
b 338
b 350
b 1019
b 2309
b 138
b 2178
b 1429
b 965
b 1048
b 600
b 1420
b 1053
b 2043
b 2656
b 2609
b 544
b 1300
b 2493
b 2631
b 741
b 788
b 800
b 692
b 2426
b 380
b 111
b 28
b 2454
b 804
b 2088
b 216
b 1729
b 593
b 1920
b 2322
b 1954
b 1588
b 434
b 608
b 2063
b 2132
b 1758
b 2684
b 1799
b 511
b 690
b 2495
b 1935
b 2341
b 1077
b 748
b 2524
b 1809
b 1694
b 1673
b 2229
b 1550
b 1584
b 1672
b 1086
b 316
b 2113
b 834
b 632
b 2260
b 223
b 2217
b 1320
b 1502
b 2
b 868
b 1936
b 1266
b 1004
b 733
b 1315
b 2222
b 1334
b 1602
b 1526
b 2621
b 1551
b 2507
b 1199
b 132
b 529
b 1337
b 971
b 1630
b 2613
b 2407
b 1251
b 1537
b 2542
b 286
b 96
b 203
b 2401
b 1101
b 1871
b 817
b 540
b 75
b 1198
b 2120
b 841
b 1393
b 1355
b 1926
b 1131
b 1868
b 1479
b 990
b 2011
b 2640
b 1459
b 601
b 1650
b 208
b 2545
b 2712
b 2172
b 2327
b 2544
b 373
b 1808
b 417
b 0
b 2668
b 272
b 1760
b 621
b 148
b 216
b 1409
b 1486
b 2566
b 2212
b 1930
b 1991
b 2229
b 496
b 2234
b 2339
b 1364
b 1629
b 995
b 949
b 2373
b 2366
b 1267
b 834
b 1219
b 405
b 1282
b 18
b 677
b 2220
b 2675
b 1469
b 1104
b 280
b 1151
b 1170
b 2646
b 803
b 2155
b 6
b 129
b 1600
b 1961
b 1484
b 2688
b 770
b 1244
b 135
b 1814
b 484
b 2675
b 956
b 1464
b 780
b 1600
b 1780
b 1232
b 1039
b 1515
b 726
b 394
b 1599
b 58
b 1065
b 336
b 1721
b 1482
b 2580
b 12
b 2361
b 1968
b 312
b 215
b 2018
b 812
b 1954
b 2450
b 1621
b 2668
b 231
b 199
b 2545
b 1408
b 1087
b 1753
b 1679
b 748
b 1355
b 1257
b 788
b 2161
b 1770
b 2686
b 1419
b 1570
b 1827
b 2033
b 2155
b 1723
b 2274
b 28
b 641
b 235
b 1746
b 2344
b 1885
b 158
b 1071
b 425
b 1051
b 1610
b 660
b 2171
b 1736
b 1495
b 1994
b 1380
b 2598
b 582
b 1966
b 1959
b 83
b 1935
b 1341
b 2124
b 1528
b 2136
b 2410
b 2151
b 224
b 645
b 1362
b 2062
b 456
b 1396
b 1817
b 411
b 875
b 1340
b 232
b 567
b 754
b 1086
b 610
b 2039
b 1326
b 1540
b 2603
b 762
b 2125
b 21
b 1765
b 1153
b 261
b 2079
b 1360
b 1137
b 148
b 1910
b 2491
b 1665
b 1012
b 2047
b 2087
b 2298
b 2266
b 1357
b 1740
b 1382
b 2204
b 2726
b 1882
b 1054
b 802
b 1073
b 248
b 2037
b 77
b 2404
b 117
b 77
b 2504
b 179
b 2434
b 1541
b 1052
b 726
b 2025
b 1876
b 1880
b 648
b 2685
b 1297
b 2501
b 1216
b 2107
b 2008
b 2090
b 1250
b 1114
b 1146
b 2030
b 2129
b 1198
b 2466
b 2188
b 1148
b 810
b 1371
b 560
b 2022
b 965
b 1824
b 1710
b 1990
b 1359
b 247
b 540
b 1045
b 1848
b 581
b 1386
b 520
b 2035
b 1421
b 808
b 1285
b 216
b 2273
b 2414
b 1722
b 563
b 658
b 229
b 2704
b 32
b 2290
b 1512
b 619
b 1655
b 1586
b 792
b 545
b 1757
b 36
b 1330
b 533
b 2403
b 2099
b 480
b 457
b 393
b 1440
b 2699
b 613
b 475
b 1980
b 1439
b 2326
b 1662
b 905
b 1283
b 468
b 1692
b 526
b 527
b 1641
b 1107
b 330
b 1926
b 1080
b 698
b 1109
b 2
b 648
b 2701
b 1975
b 1278
b 1485
b 2182
b 717
b 894
b 1594
b 860
b 46
b 2505
b 2429
b 1823
b 2702
b 2623
b 1394
b 1789
b 1065
b 571
b 192
b 1631
b 971
b 2011
b 1382
b 13
b 1695
b 2010
b 1126
b 2118
b 795
b 1005
b 1904
b 2457
b 943
b 2614
b 1941
b 1200
b 238
b 111
b 1078
b 2131
b 2581
b 1453
b 1615
b 2609
b 156
b 985
b 531
b 2439
b 2601
b 303
b 606
b 1392
b 1954
b 2253
b 1175
b 1606
b 88
b 1488
b 1725
b 337
b 1240
b 2241
b 777
b 598
b 913
b 1736
b 1455
b 848
b 1860
b 310
b 874
b 1364
b 1267
b 985
b 1733
b 474
p
b 1518
b 2278
b 1579
b 1004
b 2488
b 1608
b 1062
b 198
b 324
b 2496
b 2708
b 754
b 2481
b 1012
b 764
b 1623
b 2520
b 458
b 1581
b 513
b 2592
b 1688
b 1908
b 861
b 851
b 1891
b 2477
b 2216
b 1592
b 958
b 491
b 2263
b 2712
b 2338
b 459
b 1330
b 2698
b 1262
b 559
b 977
b 720
b 2294
b 1921
b 1679
b 2061
b 2376
b 1313
b 2405
b 1815
b 1620
b 202
b 1141
b 1039
b 1114
b 2185
b 2040
b 401
b 744
b 1597
b 1032
b 588
b 2334
b 735
b 2080
b 2042
b 852
b 1071
b 175
b 2199
b 2329
b 466
b 2273
b 2156
b 2236
b 2516
b 1250
b 2341
b 119
b 500
b 91
b 1327
b 1731
b 241
b 2421
b 1900
b 2224
b 685
b 669
b 585
b 2111
b 1834
b 879
b 284
b 1454
b 2234
b 681
b 195
b 1178
b 1351
b 704
b 2272
b 929
b 1883
b 1014
b 358
b 1172
b 2450
b 242
b 1227
b 702
b 729
b 1381
b 228
b 642
b 2237
b 2569
b 2182
b 233
b 1080
b 2327
b 1134
b 1313
b 912
b 150
b 2472
b 1306
b 1670
b 2531
b 197
b 2258
b 1759
b 1679
b 1240
b 2197
b 15
b 429
b 1745
b 1674
b 2072
b 387
b 1629
b 776
b 1232
b 322
b 30
b 1881
b 1076
b 934
b 1344
b 2236
b 1188
b 2661
b 1520
b 32
b 1718
b 1189
b 400
b 346
b 911
b 2078
b 2132
b 1386
b 2379
b 179
b 2422
b 1505
b 747
b 2222
b 1525
b 2024
b 1312
b 1735
b 721
b 691
b 929
b 76
b 1985
b 1874
b 2082
b 461
b 1247
b 2705
b 1154
b 1071
b 739
b 1070
b 1354
b 1754
b 537
b 770
b 1427
b 379
b 199
b 2298
b 189
b 2465
b 723
b 651
b 1342
b 762
b 2658
b 1363
b 2621
b 2657
b 765
b 1809
b 1154
b 2192
b 1418
b 762
b 2023
b 2547
b 613
b 2579
b 899
b 709
b 302
b 84
b 2038
b 739
b 982
b 468
b 1560
b 2199
b 1840
b 1500
b 58
b 2167
b 1543
b 2443
b 1521
b 2484
b 2302
b 2641
b 2489
b 2436
b 974
b 1096
b 73
b 1104
b 1620
b 2408
b 191
b 1279
b 701
b 1128
